CLASS,OUTPUT,OID,OQTY,INPUT1,IID1,IQTY1,IQUA1,INPUT2,IID2,IQTY2,IQUA2,INPUT3,IID3,IQTY3,IQUA3,PROD_SPEED,MACHINEGFX,TECHPERCENT
JEWELRY,NECKLACE,49,1,SILVER,92,3,70,,,,,,,,,100,1,30
JEWELRY,RING,50,1,GOLD,88,1,70,,,,,,,,,100,1,30
LEATHER,BAG,51,18,LEATHER,60,5,45,TEXTILE,111,1,5,,,,,100,1,50
LEATHER,BELT,52,35,LEATHER,60,6,45,STEEL,110,1,5,,,,,100,1,50
LEATHER,BRFCASE,53,4,LEATHER,60,5,45,TEXTILE,111,1,10,,,,,100,1,45
LEATHER,WALLET,54,3,LEATHER,60,1,50,,,,,,,,,100,1,50
PHOTO,CAMERA,67,2,ELECOMP,101,2,15,GLASS,104,1,5,PLASTIC,107,1,5,100,3,75
PHOTO,FILM,68,30,CHEMICAL,86,5,10,SILVER,92,1,5,PLASTIC,107,2,5,100,3,80
SEMI,ACID,95,1,LEMON,80,10,30,,,,,,,,,100,1,70
SEMI,CARBODY,96,1,GLASS,104,30,15,PLASTIC,107,30,15,STEEL,110,300,20,100,2,50
SEMI,COCO_OIL,97,1,COCO_NUT,75,5,20,,,,,,,,,100,5,80
SEMI,CORNSYRP,98,1,CORN,76,4,60,,,,,,,,,100,1,40
SEMI,CPU,99,50,SILICON,109,1,5,,,,,,,,,100,2,95
SEMI,DYESTUFF,100,10,OIL,90,1,30,TIMBER,94,30,20,,,,,100,1,50
SEMI,ELECOMP,101,3,CHEMICAL,86,1,10,SILICON,109,1,10,STEEL,110,1,10,400,1,70
SEMI,ENGINE,102,1,STEEL,110,100,20,,,,,,,,,200,2,80
SEMI,FLOUR,103,1,WHEAT,84,2,70,,,,,,,,,100,5,30
SEMI,GLASS,104,1,SILICA,91,2,40,,,,,,,,,100,2,60
SEMI,LINEN,105,1,FLAXFIBR,78,2,50,,,,,,,,,100,2,50
SEMI,PAPER,106,1,TIMBER,94,1,50,,,,,,,,,100,2,50
SEMI,PLASTIC,107,30,OIL,90,1,35,,,,,,,,,100,2,65
SEMI,POLYESTE,108,6,CHEMICAL,86,4,35,OIL,90,2,15,,,,,100,2,50
SEMI,SILICON,109,2,SILICA,91,3,40,,,,,,,,,100,3,60
SEMI,STEEL,110,2,COAL,87,3,20,IRON,89,1,30,,,,,100,2,50
SEMI,TEXTILE,111,1,COTTON,77,2,50,,,,,,,,,100,1,50
SEMI,WGERMOIL,112,1,WHEAT,84,10,30,,,,,,,,,100,5,70
SEMI,WHEEL,113,1,RUBBER,81,20,25,STEEL,110,20,25,,,,,200,2,50
SNACKS,CHOCOLAT,114,10,MILK,61,1,20,COCOA,74,1,30,,,,,100,5,50
SNACKS,COOKIE,115,10,SUGAR,82,1,10,FLOUR,103,9,20,,,,,100,5,70
SNACKS,FRUIT_S,116,5,STRAWBEY,71,1,50,,,,,,,,,100,5,50
SNACKS,GUM,117,20,SUGAR,82,1,10,CORNSYRP,98,1,15,,,,,100,5,75
SPORT_EQ,BACKPACK,118,15,LINEN,105,1,10,POLYESTE,108,4,30,,,,,100,1,60
SPORT_EQ,GOLFCLUB,119,1,TIMBER,94,1,15,STEEL,110,1,20,,,,,100,1,65
SPORT_EQ,SKATES,120,2,LEATHER,60,2,20,RUBBER,81,1,10,STEEL,110,1,10,100,1,60
TOBACCO,CIGARET,121,50,TOBACCO,83,1,40,PAPER,106,1,10,,,,,100,3,50
TOBACCO,CIGARS,122,1,TOBACCO,83,2,50,PAPER,106,1,10,,,,,100,3,40
TOY,HANDH_G,123,10,ELECOMP,101,2,15,GLASS,104,1,2,PLASTIC,107,2,3,100,1,80
TOY,TOY_CAR,124,8,ELECOMP,101,1,20,PLASTIC,107,7,10,,,,,100,1,70
TOY,TOY_DOLL,125,10,COTTON,77,2,10,DYESTUFF,100,1,10,TEXTILE,111,2,20,100,1,60
TOY,VIDEO_G,126,3,ELECOMP,101,1,25,PLASTIC,107,2,5,,,,,100,1,70
WATCH,E_WATCH,127,6,GLASS,104,1,10,STEEL,110,1,10,,,,,100,3,80
WATCH,S_WATCH,128,30,ELECOMP,101,1,15,GLASS,104,1,5,PLASTIC,107,4,5,100,3,75
